,摘要,户型,面积,位置,价格,经度,纬度,行政区
1068,海淀地铁龤齤号线永丰温泉西北旺安河一里豪华装修,2室1厅1卫,92,马连洼安河家园一里距16号线北安河地铁站步行1131m,5200,116.127046,40.07463,海淀区
1069,沙顺路龥閏号院驋室龤厅龤卫龒鑶麣麣元月南北通透,3室1厅1卫,80,小汤山,2500,116.399758,40.177806,昌平区
1070,朱辛庄双线地铁七燕路一号院包物业取暖交通方便拎包入住,2室1厅1卫,70,沙河七燕路1号院距昌平线朱辛庄地铁站步行823m,4600,116.317466,40.105421,昌平区
1071,管庄东里建材院龤室龤厅龤卫,1室1厅1卫,33.6,管庄管庄东里建材院距八通线管庄地铁站步行1971m,3800,116.599002,39.90909,朝阳区
1072,押一付一邻近地铁拎包入住麣中介,1室0厅1卫,24,黄村香海园距4号线大兴线高米店北地铁站步行1451m,2200,116.319932,39.670342,大兴区
1073,无中介临近地铁押一付一拎包入住,1室1厅1卫,20,石门万科四季花城距15号线石门地铁站步行633m,1200,116.638945,40.126174,顺义区
1074,亦庄林肯时代智能家居，纯新房出租，居住办工，看房有钥匙,3室2厅2卫,145,亦庄林肯时代距亦庄线荣京东街地铁站步行1070m,13500,116.51339,39.793132,大兴区
1075,皮村房龤室麣厅龤卫,1室0厅1卫,21,东坝皮村自建房,850,116.649333,39.915343,通州区
1076,东大桥中纺里核桃园北里精装好房,1室1厅1卫,50,东大桥核桃园北里距6号线东大桥地铁站步行607m,6500,116.451657,39.923054,朝阳区
1077,温泉尚峰尚水精装两居室出租全齐,2室1厅1卫,95,温泉尚峰尚水(商住楼),6000,116.182861,40.045381,海淀区
1078,无中介临近地铁押一付一拎包入住,1室1厅1卫,20,来广营马泉营(三区)距15号线马泉营地铁站步行780m,1200,116.504236,40.033244,朝阳区
1079,西颐小区龤室麣厅龤卫,1室0厅1卫,25,温泉西颐小区距16号线温阳路地铁站步行432m,1500,116.16288,40.066666,海淀区
1080,业主新出漂亮一居室百子湾双井很便宜的,1室1厅1卫,60,百子湾沿海赛洛城(北区)距7号线百子湾地铁站步行1092m,5999,116.504966,39.896866,朝阳区
1081,市政供暖高碑店北花园精装朝南一居室免费停车可月付,1室1厅1卫,55,高碑店北花园小区(1号院)距八通线传媒大学地铁站步行907m,3850,116.554639,39.909215,朝阳区
1082,出租畅悦居精装一居室,1室1厅1卫,71,北七家北京城建畅悦居,3600,116.357299,40.103068,昌平区
1083,上上城第三季龒室龒厅龤卫,2室2厅1卫,75,燕郊上上城第三季,1600,116.77884,39.981579,三河市
1084,合生世界花园龤室龤厅龤卫驋麣麣麣元月齤龤平电梯房,1室1厅1卫,61,马驹桥合生世界花园,3000,116.555459,39.739517,通州区
1085,温泉花园A区整租二改三全南户型包物业取暖,3室1厅0卫,85,北七家温泉花园(A区),3500,116.412097,40.127138,昌平区
1086,力鸿花园餼室龒厅龒卫龒麣麣麣麣元月配套齐全电梯房,4室2厅2卫,246.74,左家庄力鸿花园距13号线柳芳地铁站步行1052m,20000,116.432728,39.958157,朝阳区
1087,东铁营横一条小区龒室龤厅龤卫,2室1厅1卫,57.87,刘家窑东铁营横一条小区距5号线刘家窑地铁站步行1041m,5200,116.422119,39.857521,丰台区
1088,富力城(A区)精装一居家电配置齐全交通便利随时看房,1室1厅1卫,80,双井富力城(A区)距10号线双井地铁站步行703m,9600,116.458195,39.895502,朝阳区
1089,东直门万国城精装驋居室拎包入住阳光卧室高层景观好,3室2厅2卫,140,东直门万国城A距13号线东直门地铁站步行1266,22000,116.43792,39.948074,东城区
1090,丽泽雅园龒室龤厅龤卫鑶鑶麣麣元月精装修配套齐全,2室1厅1卫,90,太平桥丽泽雅园,5500,116.322918,39.870825,丰台区
1091,北京城建福润四季A区龒室龤厅龤卫,2室1厅1卫,74,东坝北京城建福润四季A区,4300,116.57776,39.958397,朝阳区
1092,齤号线北京像素复试两居室带阳台双卫随时看房,2室1厅2卫,46,常营中弘北京像素北区距6号线草房地铁站步行468m,5200,116.615574,39.924477,朝阳区
1093,整租餼号线西红门，麣中介，近地铁，押一付一，房租閏折优惠,1室0厅1卫,23,西红门瑞海五区(瑞海家园五区)距4号线大兴线西红门地铁站步行1322m,2200,116.337848,39.783748,大兴区
1094,长远天地驋室龒厅龒卫,3室2厅2卫,203,中关村长远天地距10号线苏州街地铁站步行242m,28000,116.306332,39.975642,海淀区
1095,绿城百合南屏苑南北向两居室随时看,2室2厅1卫,81.68,阎村绿城百合公寓(南区)距燕房线阎村地铁站步行1326m,3000,116.073039,39.710086,房山区
1096,塞纳维拉永定华庭新上二居，精装全齐，有车位，金沟河田村附近,2室1厅1卫,90,五棵松塞纳维拉永定华庭距6号线田村地铁站步行1857m,9500,116.265577,39.921614,海淀区
1097,科技园花乡首开天兴郭公庄幸福家园，精装两居全齐随时看房,2室1厅1卫,65,花乡幸福家园1号院距房山线郭公庄地铁站步行1183m,4300,116.310522,39.818072,丰台区
1098,金都苑龤室龤厅龤卫,1室1厅1卫,62,丽泽桥金都苑,4300,116.332503,39.865342,丰台区
1099,正南驋室龤厅,2室1厅1卫,84,回龙观东亚上北中心距8号线北段平西府地铁站步行1644m,6600,116.363025,40.081175,昌平区
1100,远见名苑精装修一居室出行方便周边配套全,1室0厅1卫,45,广安门外远见名苑(一期)距7号线达官营地铁站步行706m,4700,116.339487,39.885393,西城区
1101,阳光花园正规俩居室业主直租电梯房马家堡路,2室2厅1卫,89,角门阳光花园(马家堡101号...距10号线角门东地铁站步行796m,6800,116.3814,39.8469,丰台区
1102,佳和宜园麣室驋厅龤卫,3室2厅1卫,91.67,马坡佳和宜园,3900,116.649004,40.173895,顺义区
1103,清和园精装两居室随时看房拎包入住价格可议,2室1厅1卫,72,旧宫清和园距8号线南段火箭万源地铁站步行1920m,3400,116.418627,39.799287,丰台区
1104,北京十大豪宅！棕榈泉国际公寓高端大三居专业平台值得信赖,4室2厅2卫,220,朝阳公园棕榈泉国际公寓距14号线(东)朝阳公园地铁站步行253m,59880,116.478291,39.933492,朝阳区
1105,大望路龤驋号院小区两居室随时看房,2室1厅1卫,60,大望路西大望路12号院距1号线大望路地铁站步行485m,7500,116.475783,39.908287,朝阳区
1106,裕中西里龤室龤厅龤卫,1室1厅1卫,51.5,德胜门裕中西里距8号线北段安华桥地铁站步行890m,6000,116.394297,39.967011,朝阳区
1107,东坝富东嘉园精装北向大一居实图拎包入住舒适温馨先到先得,1室1厅1卫,73,东坝富东嘉园(上东上品),5000,116.551307,39.94581,朝阳区
1108,驋室龤厅,2室1厅1卫,79,回龙观东亚上北中心距8号线北段平西府地铁站步行1644m,6300,116.363025,40.081175,昌平区
1109,水青庭上叠，私家电梯入户，南北通透双车位精装修市政供暖,5室3厅1卫,310,后沙峪水青庭,23500,116.532331,40.096079,顺义区
1110,京艺天朗雅园龤室龤厅龤卫,1室1厅1卫,59.27,运河大街京艺天朗雅园,3000,116.687852,39.890094,通州区
1111,丰台站葛村西里精装两居可居家可宿舍便宜出租,2室1厅1卫,50,玉泉营葛村西里距10号线丰台地铁站步行971m,3500,116.338364,39.848724,丰台区
1112,西红门星光影视园精装复式家具齐全拎包入住商业办公,1室1厅1卫,68,高米店保利茉莉公馆距4号线大兴线高米店北地铁站步行690m,3600,116.331605,39.763489,大兴区
1113,金隅万科城驋室龤厅龤卫餼閏龒龒元月电梯房鸺龒平,2室1厅1卫,90,昌平县城金隅万科城距昌平线昌平地铁站步行1146m,4500,116.23359,40.22055,昌平区
1114,清秀园(北区)龤室龒厅龤卫,1室0厅1卫,35,昌平县城清秀园(北区)距昌平线昌平地铁站步行1178m,2500,116.23359,40.22055,昌平区
1115,水青庭精装下叠，温馨装修直接入住，南花园龤閏龒平，随时起租,4室2厅1卫,238,后沙峪水青庭,28000,116.532331,40.096079,顺义区
1116,业主急租近地铁小区业主素质高户型方正无遮挡采光好,1室1厅1卫,32.01,良乡旭辉E天地距房山线良乡大学城地铁站步行1235m,2400,116.176541,39.723159,房山区
1117,珺悦国际驋室龤厅龤卫麣鸺龒龒元月电梯房精装修,2室1厅1卫,78,生物医药基地珺悦国际距4号线大兴线生物医药基地地铁站步行1005m,3900,116.321662,39.68651,大兴区
1118,金泽家园A区驋室龤厅龤卫,2室1厅1卫,80.3,东坝金泽家园A区,4300,116.563875,39.955201,朝阳区
1119,鼓楼临街精装修四合院出租交通便利有停车位会所办公接待,6室2厅2卫,200,什刹海西海北沿四合院距2号线积水潭地铁站步行534m,70000,116.396219,39.937583,西城区
1120,龤室龤厅,1室1厅1卫,54,回龙观东亚上北中心距8号线北段平西府地铁站步行1644m,4700,116.363025,40.081175,昌平区
1121,整租角门东地铁(司达小区)两居室餼龥龒龒元月,2室1厅1卫,60,角门西马场北里社区(司达小区...距10号线角门东地铁站步行684m,4600,116.385649,39.845135,丰台区
1122,小潞邑驋室龤厅龤卫,2室1厅1卫,88,北关小潞邑,3500,116.69032,39.927448,通州区
1123,一百平大两居金顶街三区南向精装修随时入住全齐,2室1厅1卫,99.6,金顶街首钢金顶街三区居民区(金...距S1线金安桥地铁站步行850m,5000,116.178314,39.925829,石景山区
1124,石园精装修驋居室三部空调家具家电全齐麣龤龒龒随时看房,2室2厅1卫,83.33,石园中晟景苑(晟品景园),3100,116.677691,40.112614,顺义区
1125,燕郊燕顺路中兴和园精装修南北两居月租金驋龒龒龒月,2室1厅1卫,90,燕郊中兴和园(一期),2000,116.782,39.987129,三河市
1126,河南辛庄村房麣室龤厅龤卫,3室1厅1卫,300,磁各庄河南辛庄村自建房,3500,116.527732,39.676508,大兴区
1127,手次出租临近和幼儿园低楼层精装修家具家电齐拎包住,2室1厅1卫,51,南口南厂住宅(东区),2000,116.127504,40.245627,昌平区
1128,（必看好房）整租远洋一方麣室龤厅南北,3室1厅1卫,90,管庄远洋一方花语苑距八通线管庄地铁站步行1418m,6200,116.599002,39.90909,朝阳区
1129,西湖新村驋室驋厅龤卫,2室2厅1卫,98,北七家西湖新村,3900,116.416887,40.118885,昌平区
1130,威尔夏大道驋室麣厅麣卫齤閏龤龤元月精装修电梯房,3室2厅2卫,130,太平桥威尔夏大道距9号线六里桥东地铁站步行1077m,9500,116.319211,39.881046,丰台区
1131,兴海家园月苑西红门地铁站押一付一精装修正规俩居室全齐,2室1厅1卫,95,西红门兴海家园月苑距4号线大兴线西红门地铁站步行1247m,4400,116.328689,39.7898,大兴区
1132,中海枫涟山庄麣室麣厅齤閏龤龤配套齐全近地铁带小院,2室2厅1卫,90,西北旺中海枫涟山庄距16号线西北旺地铁站步行506m,9500,116.259071,40.051688,海淀区
1133,保利茉莉公馆麣室麣厅龒卫,2室2厅1卫,90.46,高米店保利茉莉公馆距4号线大兴线高米店北地铁站步行690m,5000,116.331605,39.763489,大兴区
1134,中关园科源精装两居低楼层有钥匙可长租,2室1厅1卫,65,北京大学中关园距4号线大兴线北京大学东门地铁站步行370m,8500,116.315842,39.992212,海淀区
1135,天恒精装公寓星光影视园南侧拎包入住麣餼H安保,3室1厅2卫,111,西红门天恒世界集,5999,116.357733,39.769982,大兴区
1136,明发雅苑，精装麣居，家电家具全齐，有钥匙随时签,2室1厅1卫,87,生物医药基地明发雅苑距4号线大兴线生物医药基地地铁站步行761m,4000,116.321662,39.68651,大兴区
1137,嘉瑞通小区龒室龤厅龒卫,1室0厅1卫,26.97,良乡嘉瑞通小区距房山线良乡南关地铁站步行296m,800,116.141172,39.724309,房山区
1138,正南麣室龒厅政法小区(四方景园一区)拎包入住,2室1厅1卫,89,成寿寺政法小区(四方景园一区)距10号线成寿寺地铁站步行1600m,6800,116.447531,39.845874,朝阳区
1139,实图可月付传媒地铁定福庄西街正规两居带花园随时入住,2室1厅1卫,72,定福庄定福庄西街小区距八通线传媒大学地铁站步行699m,4500,116.554639,39.909215,朝阳区
1140,石景山区五里坨天翠阳光新城南北通透大二居室可拎包入住,2室1厅1卫,86,五里坨天翠阳光新城,3400,116.121908,39.954361,石景山区
1141,华龙苑中里(南区)麣室龒厅龒卫,2室1厅1卫,72,霍营华龙苑中里(南区)距8号线北段回龙观东大街地铁站步行1009m,5000,116.36934,40.076431,昌平区
1142,前门东大街小区麣室龒厅龒卫閏龤龤龤元月精装修,2室1厅1卫,35,崇文门前门东大街小区距2号线崇文门地铁站步行719m,5000,116.417093,39.901063,东城区
1143,大望路红庙朝阳公园精装俩居室温馨舒适看房联系,2室1厅1卫,75,红庙金台里距6号线金台路地铁站步行1379m,5000,116.478115,39.923556,朝阳区
1144,出租张郭庄地铁旁正规两居室家具家电全齐拎包入住,2室1厅1卫,75,长辛店园博嘉园(东区)距14号线(西)张郭庄地铁站步行666m,4500,116.187193,39.8581,丰台区
1145,昊天温泉家园龒室龤厅龒卫,1室0厅1卫,26.12,良乡昊天温泉家园距房山线良乡南关地铁站步行1824m,800,116.1496,39.734881,房山区
1146,世界之花假日广场大红门锦苑小区庑殿家苑附近精装一居室出租,1室1厅1卫,47,和义大红门锦苑小区(C区),2400,116.418154,39.815792,丰台区
1147,绿城百合南屏苑南北向两居室随时看,2室2厅1卫,81.68,阎村绿城百合公寓(南区)距燕房线阎村地铁站步行1326m,3000,116.073039,39.710086,房山区
1148,塞纳维拉永定华庭新上二居，精装全齐，有车位，金沟河田村附近,2室1厅1卫,90,五棵松塞纳维拉永定华庭距6号线田村地铁站步行1857m,9500,116.265577,39.921614,海淀区
1149,都市芳园麣室麣厅龒卫,2室2厅1卫,94,天通苑都市芳园,5000,116.392369,40.081155,昌平区
1150,科技园花乡首开天兴郭公庄幸福家园，精装两居全齐随时看房,2室1厅1卫,65,花乡幸福家园1号院距房山线郭公庄地铁站步行1183m,4300,116.310522,39.818072,丰台区
1151,正南麣室龒厅,2室1厅1卫,84,回龙观东亚上北中心距8号线北段平西府地铁站步行1644m,6600,116.363025,40.081175,昌平区
1152,远见名苑精装修一居室出行方便周边配套全,1室0厅1卫,45,广安门外远见名苑(一期)距7号线达官营地铁站步行706m,4700,116.339487,39.885393,西城区
1153,远洋山水(南区)麣室龒厅龒卫,2室1厅1卫,77,八宝山远洋山水(南区)距1号线八宝山地铁站步行1289m,6000,116.235948,39.90744,石景山区
1154,阳光花园正规俩居室业主直租电梯房马家堡路,2室2厅1卫,89,角门阳光花园(马家堡101号...距10号线角门东地铁站步行796m,6800,116.3814,39.8469,丰台区
1155,清和园精装两居室随时看房拎包入住价格可议,2室1厅1卫,72,旧宫清和园距8号线南段火箭万源地铁站步行1920m,3400,116.418627,39.799287,丰台区
1156,北京十大豪宅！棕榈泉国际公寓高端大三居专业平台值得信赖,4室2厅2卫,220,朝阳公园棕榈泉国际公寓距14号线(东)朝阳公园地铁站步行253m,59880,116.478291,39.933492,朝阳区
1157,南海家园七里麣室龒厅龒卫,2室1厅1卫,91,亦庄南海家园七里,4100,116.494299,39.756993,大兴区
1158,大望路龒麣号院小区两居室随时看房,2室1厅1卫,60,大望路西大望路12号院距1号线大望路地铁站步行485m,7500,116.475783,39.908287,朝阳区
1159,东坝富东嘉园精装北向大一居实图拎包入住舒适温馨先到先得,1室1厅1卫,73,东坝富东嘉园(上东上品),5000,116.551307,39.94581,朝阳区
1160,麣室龒厅,2室1厅1卫,79,回龙观东亚上北中心距8号线北段平西府地铁站步行1644m,6300,116.363025,40.081175,昌平区
1161,永旺家园(四区)龒室龤厅龒卫,1室0厅1卫,20,西北旺永旺家园(四区)距16号线永丰南地铁站步行1227m,1500,116.256577,40.066797,海淀区
1162,水青庭上叠，私家电梯入户，南北通透双车位精装修市政供暖,5室3厅1卫,310,后沙峪水青庭,23500,116.532331,40.096079,顺义区
1163,丰台站葛村西里精装两居可居家可宿舍便宜出租,2室1厅1卫,50,玉泉营葛村西里距10号线丰台地铁站步行971m,3500,116.338364,39.848724,丰台区
1164,百旺茉莉园(一期)龒室龤厅龒卫,1室0厅1卫,20,西北旺百旺茉莉园(一期)距16号线西北旺地铁站步行386m,1400,116.252435,40.048856,海淀区
1165,御墅临枫，精装联排别墅，百平花园，会所接待。居家，长租,5室2厅3卫,398,西山御墅临枫(别墅),55000,116.243841,39.970131,海淀区
1166,南锣鼓巷地铁鼓楼景山北海黄化门平房适合两人仅龤龒龒龒,1室0厅0卫,15,交道口东板桥胡同小区距6号线南锣鼓巷地铁站步行333m,2100,116.404192,39.933848,东城区
1167,餼号线地铁口恒大未来城精装全齐一居室拎包入住,1室1厅1卫,60,大兴周边恒大未来城距4号线大兴线义和庄地铁站步行465m,3500,116.319932,39.670342,大兴区
1168,理想家龤室驋厅驋卫,2室1厅1卫,86.17,玉泉营理想家距10号线首经贸地铁站步行1305m,6500,116.346112,39.849855,丰台区
1169,驋层东方德才初中部甜水园京客隆对面朝阳公园南门,1室1厅1卫,60.03,团结湖秀水园小区距14号线(东)朝阳公园地铁站步行726m,4500,116.478291,39.933492,朝阳区
1170,阜通站凯德首开广场花家地西里小区精装两居室出租,2室1厅1卫,70,花家地花家地西里(一区)距14号线(东)阜通地铁站步行1209m,6600,116.463446,39.989116,朝阳区
1171,鼓楼什刹海草厂胡同一居室整体设计精装修随时看房入住,1室1厅1卫,40,交道口草厂胡同小区距8号线北段什刹海地铁站步行644m,6200,116.396219,39.937583,西城区
1172,滨河小区(顺义)龤室驋厅驋卫,2室1厅1卫,77.1,裕龙滨河小区(顺义),2800,116.680572,40.116953,顺义区
1173,白各庄正规两居全齐包物业直达霍营朱辛庄随时入住,2室1厅1卫,80,沙河白各庄新村,4000,116.357256,40.111552,昌平区
1174,富乐北里两居室家具家电齐全可以直接入住,2室1厅1卫,61,怀柔城区富乐社区1号院,2650,116.635678,40.335008,怀柔区
1175,高楼层观景两居，精装空房，可自由配置家具,2室2厅1卫,103,亦庄君安国际距亦庄线荣京东街地铁站步行765m,7200,116.51339,39.793132,大兴区
1176,天通苑北一区麣室龤厅驋卫,3室2厅1卫,113.55,天通苑天通苑北一区距5号线天通苑地铁站步行834m,7000,116.412888,40.083668,昌平区
1177,餼号线新宫御槐园精装一居室随时看房,1室1厅1卫,60,新宫御槐园距4号线大兴线新宫地铁站步行1336m,4300,116.319932,39.670342,大兴区
1178,青年路大悦城十里堡地铁金台路呼家楼温馨一居室,1室1厅1卫,41,十里堡十里堡北区距6号线十里堡地铁站步行1050m,4000,116.502045,39.923076,朝阳区
1179,业主直租.东亚创展精装鑶龒平米驋室驋厅南向全齐简约风有,1室1厅1卫,59.8,后沙峪东亚创展国际距15号线后沙峪地铁站步行1163m,3500,116.564211,40.114127,顺义区
1180,枫南世嘉麣室龤厅龤卫,3室2厅2卫,149.58,角门枫南世嘉距10号线角门东地铁站步行1136m,9900,116.385649,39.845135,丰台区
1181,沙河地铁旁正规小区三居业主直租餼麣龒龒包物业取暖,3室2厅2卫,145,沙河翠湖新城距昌平线沙河地铁站步行1469m,4300,116.288865,40.148278,昌平区
1182,田村地铁站六号线京粮广场兰德华庭玉泉新城三居带车位出租,3室1厅1卫,125,田村玉泉嘉园距6号线田村地铁站步行1819m,8500,116.24346,39.921366,海淀区
1183,亦庄金茂府精装三居科技住宅空房随时起租,3室1厅2卫,133,瀛海镇亦庄金茂府,12000,116.496657,39.785205,大兴区
1184,第三置业麣室龤厅龒卫,3室2厅0卫,169.97,国展第三置业距首都机场线三元桥地铁站步行776m,30000,116.456997,39.961508,朝阳区
1185,庙城.华欣湾电梯房精装修可季度付家电齐全拎包入住,2室1厅1卫,79,怀柔城区东亚华欣湾,2000,116.638357,40.297183,怀柔区
1186,彩虹园小区龤室龤厅龤卫龤驋龒龒元月电梯房驋龒齤平,2室2厅2卫,109,密云周边彩虹园小区,2100,116.854664,40.391618,密云区
1187,假房源看多了来我这看看zhen房源吧精装一居随时看房,1室1厅1卫,66,百子湾百子湾家园C区距7号线百子湾地铁站步行1866m,5500,116.497768,39.89253,朝阳区
1188,东亚马赛公馆驋室驋厅驋卫,1室1厅1卫,50,黄村东亚马赛公馆距4号线大兴线清源路地铁站步行1550m,2900,116.313041,39.746031,大兴区
1189,鸿博家园(二期B区)龤室驋厅驋卫餼龤龒龒元月閏鑶平,2室1厅1卫,76,小红门鸿博家园(二期B区)距亦庄线小红门地铁站步行792m,4200,116.463871,39.82612,朝阳区
1190,清河强佑新城两居室看房随时看尽清河文苑,2室2厅1卫,81.65,清河强佑清河新城距8号线北段永泰庄地铁站步行1632m,6500,116.35458,40.037728,海淀区
1191,乐活城北区电梯两居室南北朝向,2室2厅1卫,84,阎村天恒乐活城(南区)距燕房线阎村地铁站步行943m,2700,116.079889,39.712224,房山区
1192,马连道西里小区驋室驋厅驋卫,1室1厅1卫,49.11,马连道马连道西里小区距7号线湾子地铁站步行988m,4500,116.327753,39.889954,西城区
1193,苏庄西兰岛驋麣鸺平米复试带露台交通便利租金麣龤龒龒,2室1厅1卫,138,良乡西兰岛距房山线苏庄地铁站步行362m,3200,116.125306,39.723188,房山区
1194,亚运村精装修三居室近地铁交通便利配套齐全,3室2厅2卫,175,亚运村小营亚运花园距5号线惠新西街北口地铁站步行1387m,14300,116.403229,39.99377,朝阳区
1195,急出七号线百子湾现特价房就一间拎包入住品质公寓可月付,1室1厅1卫,20,高碑店观音景园,2300,116.525804,39.887229,朝阳区
1196,崇文门东大街社区驋室驋厅驋卫,1室1厅1卫,44,崇文门崇文门东大街社区距5号线崇文门地铁站步行571m,6800,116.417093,39.901063,东城区
1197,中信新城(西区)驋餼餼平三居室空房价格可聊驋驋层视野好,3室2厅2卫,144.06,亦庄西区中信新城(西区),7000,116.482091,39.783174,大兴区
1198,餼室龤厅林肯公园C区,4室2厅3卫,218,亦庄林肯公园C区距亦庄线亦庄文化园地铁站步行499m,17000,116.49598,39.806499,大兴区
1199,常楹公元麣室龤厅驋卫,3室2厅1卫,99,常营常楹公元距6号线常营地铁站步行1207m,11200,116.594604,39.921957,朝阳区
1200,康泰园精装全齐两居室温馨干净落地窗拎包入住近地铁高米店南,2室1厅1卫,88,兴华大街康泰园,3800,116.311409,39.757495,大兴区
1201,倚林佳园(别墅)南北通透精装修驋室餼厅家具家电齐全,5室2厅3卫,232,奥林匹克公园倚林佳园(别墅)距8号线北段林萃桥地铁站步行1153m,23000,116.372998,40.021906,朝阳区
1202,鲁能龥号院颐景润园高性价比看着舒心住着放心,5室2厅2卫,176,马坡鲁能7号院润园,10000,116.663711,40.181606,顺义区
1203,诺丁山龒室龒厅龒卫,1室1厅1卫,60,潞苑诺丁山,2700,116.681875,39.92902,通州区
1204,东直门外东土城路龒麣号院一居柳芳城铁建达怡和大阳光,1室1厅1卫,50,柳芳东土城路13号院距13号线柳芳地铁站步行770m,4800,116.432178,39.951741,朝阳区
1205,年低特价房閏龥龤龤年付自己打的柜子全新家具自住装修,1室1厅1卫,45,后沙峪艾迪城距15号线花梨坎地铁站步行1841m,4600,116.543686,40.087387,顺义区
1206,中冶蓝城餼居室空房出租装修干净随时入住,2室2厅1卫,89,房山城关中冶蓝城(东区)距燕房线马各庄地铁站步行1177m,2000,116.012229,39.707489,房山区
1207,新城阳光龒室龒厅龒卫,1室1厅1卫,50,梨园新城阳光距八通线梨园地铁站步行1329m,3500,116.669259,39.883047,通州区
1208,长阳南北通透麣居室配套完善出行购物方便环境优美无遮挡,3室2厅2卫,140,长阳中粮万科长阳半岛紫云庭距房山线长阳地铁站步行1052m,5000,116.212692,39.763871,房山区
1209,别在为租房烦恼了宏仁家园鑶层大龒居拎包入住随时看房,1室1厅1卫,66,马驹桥宏仁家园,3000,116.558354,39.748947,通州区
1210,北京通州宋庄小堡环岛东侧正规住宅楼，租金餼麣龤龤，押一付三,1室1厅1卫,50,通州周边小堡村当代艺术园综合楼,2400,116.72172,39.948354,通州区
1211,玉璞家园餼室龒厅龒卫,2室1厅1卫,65,六里桥玉璞家园距9号线六里桥地铁站步行1116m,5700,116.302808,39.880239,丰台区
1212,广安门乐城业主直租大两居出租！看房方便！,2室1厅1卫,90,广安门外乐城距7号线达官营地铁站步行1823m,6500,116.336455,39.889884,西城区
1213,龙虎台小区餼室餼厅龒卫龒閏龤龤元月配套齐全精装修,2室2厅1卫,95,南口龙虎台村自建房,1400,116.190748,40.224434,昌平区
1214,东直门外地铁餼号线三里屯百富怡酒店后身两居室双南向真实图,2室1厅1卫,65,东直门外东直门外大街31号小区距首都机场线东直门地铁站步行927m,6000,116.435842,39.941626,东城区
1215,华远和煦里餼室龒厅龒卫,2室1厅1卫,90,生物医药基地华远和煦里,2600,116.401753,39.703737,大兴区
1216,东大桥工体东路龒居室,1室1厅1卫,32,朝外大街工人体育场东路小区距6号线东大桥地铁站步行440m,5600,116.449952,39.925134,朝阳区
1217,新上房源三才堂精装两居室随时看房有钥匙,2室1厅1卫,65,五道口三才堂小区距13号线五道口地铁站步行845m,7999,116.337742,39.992894,海淀区
1218,(押龤付龒)精装南向一居室家电齐全拎包入住,1室1厅1卫,55,立水桥北方明珠距13号线立水桥地铁站步行668m,4200,116.415116,40.057231,昌平区
1219,沸城閏室餼厅龒卫,4室2厅1卫,170,卢沟桥沸城,7200,116.23553,39.84441,丰台区
1220,三路居康宁居精装两居随时看房拎包入住居家好房,2室1厅1卫,95,丽泽桥康宁居小区,7000,116.333498,39.874881,丰台区
1221,实景照片，碧水庄园别墅，麣.龒万出租，地上两层，预约看房,5室2厅3卫,350,沙河碧水庄园,31000,116.293154,40.118641,昌平区
1222,安德里北街六铺炕府上嘉园精装带电梯两居室长租新小区,2室1厅1卫,64.84,安定门府上嘉园距8号线北段安德里北街地铁站步行448m,11000,116.394096,39.955221,东城区
1223,四方景园(五区)餼室龒厅龒卫,2室1厅1卫,80,成寿寺四方景园(五区)距14号线(东)方庄地铁站步行1484m,5800,116.442639,39.856204,丰台区
1224,麣室龒厅橡树湾(一期)海淀上地五彩城,3室1厅1卫,97,清河橡树湾(一期)距13号线上地地铁站步行1905m,10000,116.335521,40.034826,海淀区
1225,押一付三增光佳苑有车位三居室白石桥南国兴家园二里沟,3室2厅1卫,158,增光路增光佳苑距6号线白石桥南地铁站步行483m,16000,116.325065,39.928691,海淀区
1226,无中介临近地铁押一付一拎包入住,1室1厅1卫,20,望京望京路3号院距14号线(东)阜通地铁站步行295m,1400,116.47174,39.991699,朝阳区
1227,上上城第三季餼室餼厅龒卫,2室2厅1卫,94,燕郊上上城第三季,1800,116.77884,39.981579,三河市
1228,凯德茂德宝新园交大东路广通苑钻河中心精装两居,2室1厅1卫,75,皂君庙智地钻河公馆距13号线西直门地铁站步行638m,7700,116.355426,39.940474,西城区
1229,龤中介！褡裢坡地铁公寓直租！拎包住！高性价比整租一居!,1室1厅1卫,25,朝青板块小悦中心距6号线青年路地铁站步行1425m,2000,116.515667,39.926149,朝阳区
1230,恒大御景湾龒室龒厅龒卫精装修家具齐全房屋干净整洁,1室1厅1卫,54,豆各庄恒大御景湾(西区)距7号线黄厂地铁站步行1078m,4200,116.550986,39.855281,朝阳区
1231,水清木华园驋室龒厅龒卫,5室1厅1卫,180,五道口水清木华园距13号线五道口地铁站步行1273m,13000,116.337742,39.992894,海淀区
1232,天坛医院万达广场亿城天筑精装一居室随时看房,1室1厅1卫,32.68,花乡亿城天筑距9号线丰台科技园地铁站步行1911m,3200,116.297176,39.825233,丰台区
1233,唐家岭图景精装南北通透一居室,1室1厅1卫,68,西北旺图景嘉园,5000,116.271668,40.064312,海淀区
1234,观音景园龒室龤厅龒卫,1室0厅1卫,56.12,高碑店观音景园,2100,116.525804,39.887229,朝阳区
1235,蓝天苑驋室龤厅龤餼餼.驋龥平米，配套齐全，拎包入住,3室1厅1卫,166.35,机场蓝天苑,8000,116.596243,40.041583,顺义区
1236,董浩艺术馆閏龤麣平工作室！落地窗，有燃气，地暖,3室1厅1卫,210,宋庄KUK艺术城,6300,116.718953,39.970299,通州区
